date,time,symbol,strike,option_type,open,high,low,close,volume,ema5,ema25,vwap,signal_fired
2026-07-01,2026-07-01 09:15:00+05:30,NIFTY07JUL2623550CE,23550,CE,421.6,454.5,421.6,449.45,95.0,449.6420690776505,450.3003589313965,441.85,
2026-07-01,2026-07-01 09:20:00+05:30,NIFTY07JUL2623550CE,23550,CE,449.7,449.7,440.0,446.0,52.0,448.4280460517671,449.96956209051984,443.0468253968254,
2026-07-01,2026-07-01 09:25:00+05:30,NIFTY07JUL2623550CE,23550,CE,435.55,444.8,428.4,438.15,43.0,445.0020307011781,449.0603650066337,441.7047368421052,
2026-07-01,2026-07-01 09:30:00+05:30,NIFTY07JUL2623550CE,23550,CE,443.45,456.1,443.45,453.85,34.0,447.9513538007855,449.4287984676619,443.1358630952381,False
2026-07-01,2026-07-01 09:35:00+05:30,NIFTY07JUL2623550CE,23550,CE,438.3,458.6,438.3,455.6,44.0,450.500902533857,449.9035062778418,444.3996268656717,
2026-07-01,2026-07-01 09:40:00+05:30,NIFTY07JUL2623550CE,23550,CE,455.0,463.75,444.0,455.15,34.0,452.050601689238,450.3070827180079,445.5142384105961,
2026-07-01,2026-07-01 09:45:00+05:30,NIFTY07JUL2623550CE,23550,CE,455.5,455.5,455.5,455.5,3.0,453.2004011261587,450.7065378935457,445.6124590163935,False
2026-07-01,2026-07-01 09:15:00+05:30,NIFTY07JUL2623550PE,23550,PE,33.7,45.4,33.7,38.3,19087.0,34.71933661651812,34.16152346900821,39.13333333333333,
2026-07-01,2026-07-01 09:20:00+05:30,NIFTY07JUL2623550PE,23550,PE,38.5,41.2,37.75,40.6,5551.0,36.679557744345416,34.65679089446912,39.29480003788186,
2026-07-01,2026-07-01 09:25:00+05:30,NIFTY07JUL2623550PE,23550,PE,40.8,42.7,37.2,37.55,4801.0,36.96970516289694,34.87934544104842,39.27118561545343,
2026-07-01,2026-07-01 09:30:00+05:30,NIFTY07JUL2623550PE,23550,PE,37.4,38.4,35.5,36.55,1489.0,36.8298034419313,35.00785733019855,39.15301506725297,False
2026-07-01,2026-07-01 09:35:00+05:30,NIFTY07JUL2623550PE,23550,PE,39.7,39.7,34.45,35.05,4433.0,36.2365356279542,35.01109907402943,38.80788580639688,
2026-07-01,2026-07-01 09:40:00+05:30,NIFTY07JUL2623550PE,23550,PE,35.1,38.2,34.05,34.3,6049.0,35.591023751969466,34.95639914525794,38.3271182484102,
2026-07-01,2026-07-01 09:45:00+05:30,NIFTY07JUL2623550PE,23550,PE,34.35,34.8,34.35,34.6,259.0,35.26068250131298,34.92898382639195,38.30384818450166,False
2026-07-01,2026-07-01 09:15:00+05:30,NIFTY07JUL2623850CE,23850,CE,224.0,236.6,194.95,229.9,21941.0,227.6664696286259,229.79325923684124,220.4833333333333,
2026-07-01,2026-07-01 09:20:00+05:30,NIFTY07JUL2623850CE,23850,CE,229.4,230.5,219.3,220.0,9017.0,225.11097975241728,229.03993160323807,221.29402254667613,
2026-07-01,2026-07-01 09:25:00+05:30,NIFTY07JUL2623850CE,23850,CE,220.0,226.0,213.65,224.55,8767.0,224.92398650161152,228.69455224914284,221.3174109502832,
