date,time,symbol,strike,option_type,open,high,low,close,volume,ema5,ema25,vwap,signal_fired
2026-06-30,2026-06-30 09:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,507.1,520.0,445.85,450.0,1866.0,462.9974322758847,470.8179139414461,471.95,
2026-06-30,2026-06-30 09:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,450.05,451.9,405.0,413.6,1967.0,446.5316215172565,466.41653594595033,447.08666840594833,
2026-06-30,2026-06-30 09:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,413.2,420.05,405.0,410.35,1092.0,434.47108101150434,462.1037254885696,439.26270050761417,
2026-06-30,2026-06-30 09:30:00+05:30,NIFTY30JUN2623500CE,23500,CE,408.35,409.6,401.0,406.15,216.0,425.0307206743362,457.7995927586797,437.8476560980354,True
2026-06-30,2026-06-30 09:35:00+05:30,NIFTY30JUN2623500CE,23500,CE,385.1,390.0,380.05,387.0,96.0,412.3538137828909,452.35347023878126,436.8914263891541,
2026-06-30,2026-06-30 09:40:00+05:30,NIFTY30JUN2623500CE,23500,CE,388.35,395.25,388.35,391.8,113.0,405.28032029970507,447.62450507248445,430.0030164682863,True
2026-06-30,2026-06-30 09:45:00+05:30,NIFTY30JUN2623500CE,23500,CE,380.0,382.2,375.05,381.75,57.0,394.8591024220256,441.7335668124709,419.2280155642023,
2026-06-30,2026-06-30 09:50:00+05:30,NIFTY30JUN2623500CE,23500,CE,368.9,372.0,366.95,368.4,141.0,383.7282905035727,435.3540616730501,413.0381211857018,True
2026-06-30,2026-06-30 09:55:00+05:30,NIFTY30JUN2623500CE,23500,CE,378.05,383.15,377.9,380.75,79.0,385.14663811349294,431.9241634378451,408.81208193310925,
2026-06-30,2026-06-30 10:00:00+05:30,NIFTY30JUN2623500CE,23500,CE,391.15,428.0,391.15,426.95,1787.0,401.9255365201065,432.4504112207328,407.9504177692835,
2026-06-30,2026-06-30 10:05:00+05:30,NIFTY30JUN2623500CE,23500,CE,427.3,429.0,419.4,421.15,171.0,408.3336910134044,431.581148819138,408.1395160314578,
2026-06-30,2026-06-30 10:10:00+05:30,NIFTY30JUN2623500CE,23500,CE,380.1,398.8,380.1,398.8,236.0,395.7780162311585,426.0630722827546,406.39684760366174,True
2026-06-30,2026-06-30 10:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,397.6,398.3,388.35,393.5,102.0,395.3853441541057,423.6753803320102,405.9977458595322,
2026-06-30,2026-06-30 10:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,398.05,398.05,391.0,391.75,28.0,395.3291183249594,421.5888126141633,405.7846906187624,
2026-06-30,2026-06-30 10:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,397.4,403.45,393.85,403.05,60.0,399.7360788833063,420.7485489219496,405.3679000249745,
2026-06-30,2026-06-30 10:30:00+05:30,NIFTY30JUN2623500CE,23500,CE,403.0,403.0,396.55,396.55,25.0,398.0073859222042,418.6741043303204,405.25811832451006,
2026-06-30,2026-06-30 10:35:00+05:30,NIFTY30JUN2623500CE,23500,CE,411.1,411.1,407.65,409.0,25.0,404.88270172591393,418.9559779617159,405.2739928204581,
2026-06-30,2026-06-30 10:40:00+05:30,NIFTY30JUN2623500CE,23500,CE,403.0,403.1,395.4,396.5,107.0,400.9440233728316,416.8629145682111,405.3519323671497,True
2026-06-30,2026-06-30 10:45:00+05:30,NIFTY30JUN2623500CE,23500,CE,399.3,400.8,398.05,398.05,9.0,401.0015711374433,415.74239451266834,405.2382681471107,
2026-06-30,2026-06-30 10:50:00+05:30,NIFTY30JUN2623500CE,23500,CE,427.3,435.0,423.7,433.2,344.0,418.1566029805178,419.1373582483803,406.0335478203058,
2026-06-30,2026-06-30 10:55:00+05:30,NIFTY30JUN2623500CE,23500,CE,414.55,415.4,409.95,415.4,143.0,413.0932908759008,417.5256087973215,406.6373177645788,False
2026-06-30,2026-06-30 11:00:00+05:30,NIFTY30JUN2623500CE,23500,CE,380.05,399.95,374.6,387.1,1438.0,396.83997169504505,412.7603252803678,404.901079107505,
2026-06-30,2026-06-30 11:05:00+05:30,NIFTY30JUN2623500CE,23500,CE,385.0,404.9,383.0,403.3,876.0,398.9933144633634,412.0326079511088,404.6322181305335,
2026-06-30,2026-06-30 11:10:00+05:30,NIFTY30JUN2623500CE,23500,CE,400.45,459.0,400.45,451.55,8887.0,416.5122096422423,415.072407339485,412.9910498939354,
2026-06-30,2026-06-30 11:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,454.0,456.45,433.85,450.6,2377.0,427.8748064281616,417.8052990826016,415.1862127389689,
2026-06-30,2026-06-30 11:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,447.05,449.8,441.2,443.0,42.0,432.9165376187744,419.7433529993245,415.2198296770924,False
2026-06-30,2026-06-30 11:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,518.65,518.65,489.6,489.6,553.0,468.2999139680719,430.38558028340015,420.5858523503516,
2026-06-30,2026-06-30 11:30:00+05:30,NIFTY30JUN2623500CE,23500,CE,490.75,495.4,450.5,457.5,720.0,464.6999426453813,432.47130487698473,421.4305123490533,
2026-06-30,2026-06-30 11:35:00+05:30,NIFTY30JUN2623500CE,23500,CE,457.05,457.35,436.0,439.5,263.0,456.2999617635876,433.01197373260135,421.5788816476996,False
2026-06-30,2026-06-30 11:40:00+05:30,NIFTY30JUN2623500CE,23500,CE,459.0,475.0,436.95,440.4,644.0,454.67775228683615,434.7554313744723,422.6760470873938,
2026-06-30,2026-06-30 11:45:00+05:30,NIFTY30JUN2623500CE,23500,CE,441.0,446.0,438.2,438.2,40.0,449.18516819122414,435.0203981918206,422.693179096953,False
2026-06-30,2026-06-30 11:50:00+05:30,NIFTY30JUN2623500CE,23500,CE,440.0,457.0,439.2,454.35,293.0,451.41788990526055,436.67060424807113,423.085431111111,
2026-06-30,2026-06-30 11:55:00+05:30,NIFTY30JUN2623500CE,23500,CE,457.1,466.45,445.0,460.35,380.0,454.3952599368404,438.4920962289887,423.3839914952303,
2026-06-30,2026-06-30 12:00:00+05:30,NIFTY30JUN2623500CE,23500,CE,458.95,461.85,437.95,443.9,342.0,450.8968399578936,438.9080888267588,423.5752126713343,
2026-06-30,2026-06-30 12:05:00+05:30,NIFTY30JUN2623500CE,23500,CE,441.75,446.2,431.2,439.6,255.0,447.13122663859576,438.961312763162,423.66439957371534,
2026-06-30,2026-06-30 12:10:00+05:30,NIFTY30JUN2623500CE,23500,CE,437.1,443.15,426.05,437.55,486.0,443.9374844257305,438.8527502429187,423.79431349241935,
2026-06-30,2026-06-30 12:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,438.0,445.0,420.0,437.15,886.0,441.6749896171537,438.7217694550019,423.9941318115845,
2026-06-30,2026-06-30 12:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,436.3,451.25,429.3,448.8,512.0,444.0499930781025,439.4970179584633,424.2070387364269,
2026-06-30,2026-06-30 12:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,448.25,452.0,437.35,446.55,209.0,444.883328718735,440.0395550385816,424.30246960349234,
2026-06-30,2026-06-30 12:30:00+05:30,NIFTY30JUN2623500CE,23500,CE,446.8,446.8,415.2,428.55,836.0,439.43888581249007,439.15574311253687,424.4070049541791,
2026-06-30,2026-06-30 12:35:00+05:30,NIFTY30JUN2623500CE,23500,CE,427.75,458.15,427.7,456.1,827.0,444.9925905416601,440.4591474884956,424.8028904954935,
2026-06-30,2026-06-30 12:40:00+05:30,NIFTY30JUN2623500CE,23500,CE,456.15,471.75,448.2,463.1,1832.0,451.0283936944401,442.20075152784216,426.1380411887032,
2026-06-30,2026-06-30 12:45:00+05:30,NIFTY30JUN2623500CE,23500,CE,464.15,467.85,461.45,465.6,179.0,455.88559579629344,444.00069371800816,426.2774128215925,False
2026-06-30,2026-06-30 12:50:00+05:30,NIFTY30JUN2623500CE,23500,CE,461.85,465.0,441.55,459.75,492.0,456.3070638641957,444.9352557396999,428.8615366456694,
2026-06-30,2026-06-30 12:55:00+05:30,NIFTY30JUN2623500CE,23500,CE,459.25,471.95,456.3,463.05,315.0,458.5547092427971,446.32869760587687,429.0652517616832,
2026-06-30,2026-06-30 13:00:00+05:30,NIFTY30JUN2623500CE,23500,CE,462.9,467.95,444.05,455.7,455.0,457.6031394951981,447.04956702080943,429.2895813429361,
2026-06-30,2026-06-30 13:05:00+05:30,NIFTY30JUN2623500CE,23500,CE,457.2,460.6,440.0,443.3,526.0,452.83542633013207,446.7611387884395,429.46835171234113,
2026-06-30,2026-06-30 13:10:00+05:30,NIFTY30JUN2623500CE,23500,CE,442.45,446.25,442.05,445.75,38.0,450.4736175534214,446.6833588816365,429.4788654107263,False
2026-06-30,2026-06-30 13:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,440.1,453.5,438.85,442.1,175.0,447.2935228133921,446.2065324587887,429.5989352686621,
2026-06-30,2026-06-30 13:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,439.0,441.25,418.5,431.15,341.0,441.9123485422614,445.0483376542665,429.6032194763534,False
2026-06-30,2026-06-30 13:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,428.45,432.0,425.05,430.3,66.0,437.6637879170632,443.79314008322825,429.59586064989657,False
2026-06-30,2026-06-30 13:30:00+05:30,NIFTY30JUN2623500CE,23500,CE,445.3,453.55,444.2,447.15,426.0,444.7591919447089,445.3081648105539,429.95132172398775,
2026-06-30,2026-06-30 13:35:00+05:30,NIFTY30JUN2623500CE,23500,CE,444.55,446.55,441.35,443.85,53.0,444.4561279631392,445.19599828666514,429.96419905587055,
2026-06-30,2026-06-30 13:40:00+05:30,NIFTY30JUN2623500CE,23500,CE,446.0,450.15,444.7,447.3,11.0,445.8596408643151,445.5034067024838,430.0443848107109,False
2026-06-30,2026-06-30 13:45:00+05:30,NIFTY30JUN2623500CE,23500,CE,454.0,454.0,443.1,449.3,66.0,448.9953161317656,446.43095529933424,430.185173803006,False
2026-06-30,2026-06-30 13:50:00+05:30,NIFTY30JUN2623500CE,23500,CE,447.45,447.85,446.2,446.45,6.0,447.9579885322882,446.37206524672274,430.2443827552473,False
2026-06-30,2026-06-30 13:55:00+05:30,NIFTY30JUN2623500CE,23500,CE,441.3,441.3,436.35,438.95,47.0,444.3553256881921,445.6094211744896,430.3261151918916,False
2026-06-30,2026-06-30 14:00:00+05:30,NIFTY30JUN2623500CE,23500,CE,435.15,435.45,427.65,428.55,44.0,437.875772681017,443.9101757587005,430.3298828789012,False
2026-06-30,2026-06-30 14:05:00+05:30,NIFTY30JUN2623500CE,23500,CE,393.3,395.0,387.6,387.6,114.0,412.7060706762336,436.891049812765,429.82636303376665,True
2026-06-30,2026-06-30 14:10:00+05:30,NIFTY30JUN2623500CE,23500,CE,399.7,402.9,398.1,401.65,52.0,411.742936006378,435.0500223123748,429.4294507325765,
2026-06-30,2026-06-30 14:15:00+05:30,NIFTY30JUN2623500CE,23500,CE,389.2,392.4,387.0,392.4,54.0,402.5730684486965,430.8994288800619,429.10798875767387,
2026-06-30,2026-06-30 14:20:00+05:30,NIFTY30JUN2623500CE,23500,CE,382.0,382.75,374.0,374.0,67.0,390.68204563246434,425.7663367176904,428.4379397484236,
2026-06-30,2026-06-30 14:25:00+05:30,NIFTY30JUN2623500CE,23500,CE,466.7,495.0,463.0,485.1,643.0,442.3213637549762,436.774251644732,429.11988112071225,False
2026-06-30,2026-06-30 09:15:00+05:30,NIFTY30JUN2623500PE,23500,PE,0.75,1.6,0.75,1.5,259591.0,2.5099292412585377,3.57231544712246,1.2833333333333334,
2026-06-30,2026-06-30 09:20:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.5,2.25,1.4,2.0,199791.0,2.339952827505692,3.4513681050361167,1.5442808671940422,
2026-06-30,2026-06-30 09:25:00+05:30,NIFTY30JUN2623500PE,23500,PE,2.0,2.15,1.85,1.95,96829.0,2.209968551670461,3.335878250802569,1.6207141114912629,
2026-06-30,2026-06-30 09:30:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.95,2.35,1.7,2.25,125020.0,2.2233123677803075,3.252349154586988,1.7086730002989687,
2026-06-30,2026-06-30 09:35:00+05:30,NIFTY30JUN2623500PE,23500,PE,2.25,2.4,1.8,2.0,83418.0,2.148874911853538,3.156014604234142,1.7477276719993968,
2026-06-30,2026-06-30 09:40:00+05:30,NIFTY30JUN2623500PE,23500,PE,2.05,2.35,1.9,2.1,80972.0,2.1325832745690256,3.0747827116007467,1.783055233964152,
2026-06-30,2026-06-30 09:45:00+05:30,NIFTY30JUN2623500PE,23500,PE,2.1,2.3,1.95,2.15,89494.0,2.138388849712684,3.0036455799391506,1.8165781570537671,
2026-06-30,2026-06-30 09:50:00+05:30,NIFTY30JUN2623500PE,23500,PE,2.15,2.35,1.8,1.8,80418.0,2.0255925664751224,2.91105745840537,1.829783161485972,
2026-06-30,2026-06-30 09:55:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.85,1.85,1.4,1.45,71337.0,1.8337283776500817,2.7986684231434187,1.8125134407365493,
2026-06-30,2026-06-30 10:00:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.45,1.55,1.25,1.3,59826.0,1.655818918433388,2.683386236747771,1.7892524987732872,
2026-06-30,2026-06-30 10:05:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.3,1.7,1.25,1.65,57945.0,1.6538792789555925,2.6038949877671738,1.776942411335272,
2026-06-30,2026-06-30 10:10:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.65,1.7,1.3,1.35,42173.0,1.5525861859703949,2.507441527169699,1.7658837110694408,
2026-06-30,2026-06-30 10:15:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.3,1.55,1.3,1.45,45857.0,1.5183907906469298,2.4260998712335686,1.7540866160067028,
2026-06-30,2026-06-30 10:20:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.45,1.65,1.45,1.45,33994.0,1.4955938604312866,2.3510152657540635,1.7480030502550887,
2026-06-30,2026-06-30 10:25:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.5,1.5,1.3,1.4,23320.0,1.4637292402875244,2.277860245311444,1.7419915529925645,
2026-06-30,2026-06-30 10:30:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.35,1.55,1.3,1.3,36425.0,1.4091528268583495,2.202640226441333,1.7325685643736946,
2026-06-30,2026-06-30 10:35:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.3,1.4,1.25,1.4,19968.0,1.4061018845722333,2.1408986705612305,1.7271367892084015,
2026-06-30,2026-06-30 10:40:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.35,1.55,1.3,1.3,29306.0,1.3707345897148224,2.076214157441136,1.7201188771345228,
2026-06-30,2026-06-30 10:45:00+05:30,NIFTY30JUN2623500PE,23500,PE,1.3,1.35,1.2,1.2,27502.0,1.3138230598098817,2.0088130684072025,1.7112825368750113,
